round_id,box1_pet,box1_family,box1_egg,box2_pet,box2_family,box2_egg,box3_pet,box3_family,box3_egg,round_egg_group,note
1,,,,,,,加油海葵,水系,妖精组,,
2,,,,,,,小丑豆豆,恶系,妖精组,,
3,,,,,,,咕咕帽,幽系,妖精组,,
4,,,,,,,猴麦仔,普通系,动物组、机械组,,雪影 火焰猿
5,小丑豆豆,恶系,妖精组,小丑豆豆,恶系,妖精组,猴麦仔,普通系,动物组、机械组,天空组/植物组,
6,菊花梨,萌系,植物组,菊花梨,萌系,植物组,菊花梨,萌系,植物组,,
7,小丑豆豆,恶系,妖精组,烟花团,火系,机械族、魔力组,幽影树,幽系,植物组、妖精组,,
8,菊花梨,萌系,植物组,菊花梨,萌系,植物组,小独角兽,光系,动物组、巨灵组,,
9,菊花梨,萌系,植物组,菊花梨,萌系,植物组,菊花梨,萌系,植物组,,
10,菊花梨,萌系,植物组,,,,公平鸽,普通系,天空组,,
11,菊花梨,萌系,植物组,加油海葵,水系,妖精组,幽影树,幽系,植物组、妖精组,,
12,公平鸽,普通系,天空组,公平鸽,普通系,天空组,灵狐,火系,动物组,,
13,公平鸽,普通系,天空组,公平鸽,普通系,天空组,公平鸽,普通系,天空组,,
14,公平鸽,普通系,天空组,公平鸽,普通系,天空组,菊花梨,萌系,植物组,,
15,烟花团,火系,机械族、魔力组,烟花团,火系,机械族、魔力组,烟花团,火系,机械族、魔力组,,
